,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1148,1550,3,-402,1446,527
8,Брянская область,897,1267,3,-370,910,468
9,Владимирская область,985,1618,3,-633,1014,433
10,Воронежская область,1771,2397,9,-626,2051,816
11,Ивановская область,733,1120,4,-387,745,291
12,Калужская область,870,1138,8,-268,868,356
13,Костромская область,494,708,4,-214,424,212
14,Курская область,818,1234,3,-416,890,425
15,Липецкая область,830,1197,2,-367,949,387
16,Московская область,6773,6926,21,-153,6084,2680
17,Орловская область,541,808,1,-267,587,253
18,Рязанская область,891,1281,3,-390,910,419
19,Смоленская область,548,1074,4,-526,632,322
20,Тамбовская область,633,1169,5,-536,782,312
21,Тверская область,937,1594,6,-657,938,475
22,Тульская область,1022,1822,7,-800,1098,518
23,Ярославская область,963,1402,2,-439,884,409
24,г.Москва,10909,9244,58,1665,10142,3816
26,Республика Карелия,462,661,1,-199,444,227
27,Республика Коми,696,775,2,-79,457,265
28,Архангельская область,919,1092,8,-173,713,389
29,Hенецкий авт.округ,53,25,0,28,25,16
30,Архангельская область без автономии,866,1067,8,-201,688,373
31,Вологодская область,947,1260,2,-313,772,394
32,Калининградская область,973,872,4,101,948,456
33,Ленинградская область,1130,1772,4,-642,845,582
34,Мурманская область,624,655,2,-31,488,306
35,Новгородская область,463,731,1,-268,373,227
36,Псковская область,433,772,1,-339,470,226
37,г.Санкт-Петербург,5101,4622,26,479,6158,2015
39,Республика Адыгея,393,409,0,-16,310,134
40,Республика Калмыкия,273,186,2,87,207,92
41,Республика Крым,1812,1940,7,-128,1850,570
42,Краснодарский край,5407,5275,31,132,5864,2162
43,Астраханская область,1020,845,8,175,849,345
44,Волгоградская область,1885,2334,9,-449,2066,789
45,Ростовская область,3409,3959,20,-550,3864,1528
48,Республика Дагестан,4638,1288,34,3350,1483,395
49,Республика Ингушетия,653,133,4,520,172,28
50,Кабардино-Балкарская Республика,991,539,4,452,565,156
51,Карачаево-Черкесская Республика,422,313,3,109,235,128
52,Республика Северная Осетия- Алания,849,508,1,341,351,147
53,Чеченская Республика,3008,528,23,2480,864,91
54,Ставропольский край,2581,2288,18,293,2154,846
56,Республика Башкортостан,3811,3749,12,62,2619,1305
57,Республика Марий Эл,556,586,1,-30,457,211
58,Республика Мордовия,474,766,3,-292,555,233
59,Республика Татарстан(Татарстан),3800,3474,8,326,3245,1168
60,Удмуртская Республика,1328,1342,6,-14,922,417
61,Чувашская Республика(Чувашия),1062,1151,7,-89,782,334
62,Пермский край,2257,2595,6,-338,1763,819
63,Кировская область,1050,1484,2,-434,719,428
64,Hижегородская область,2554,3406,11,-852,2408,972
65,Оренбургская область,1763,1924,10,-161,1466,634
66,Пензенская область,931,1418,7,-487,940,441
67,Самарская область,2700,3132,7,-432,2642,1128
68,Саратовская область,1814,2515,7,-701,1687,789
69,Ульяновская область,984,1224,4,-240,857,397
71,Курганская область,658,942,6,-284,549,303
72,Свердловская область,3958,4444,12,-486,3157,1590
73,Тюменская область,4168,2228,12,1940,2874,1396
74,Ханты-Мансийский авт.округ-Югра,1947,785,5,1162,1278,635
75,Ямало-Hенецкий авт.округ,555,170,2,385,380,211
76,Тюменская область без автономии,1666,1273,5,393,1216,550
77,Челябинская область,3109,3473,15,-364,2602,1302
79,Республика Алтай,274,147,1,127,149,79
80,Республика Бурятия,1060,834,12,226,500,265
81,Республика Тыва,527,248,4,279,157,56
82,Республика Хакасия,500,502,0,-2,353,206
83,Алтайский край,1885,2445,17,-560,1518,833
84,Забайкальский край,1079,917,6,162,661,368
85,Красноярский край,2689,2638,20,51,2056,1066
86,Иркутская область,2553,2458,15,95,1704,955
87,Кемеровская область,2089,2965,8,-876,1798,910
88,Новосибирская область,2645,2863,15,-218,2272,1069
89,Омская область,1739,1982,13,-243,1391,676
90,Томская область,950,956,4,-6,896,381
92,Республика Саха (Якутия),1127,646,4,481,573,273
93,Камчатский край,254,285,3,-31,249,132
94,Приморский край,1600,1876,6,-276,1912,771
95,Хабаровский край,1282,1233,6,49,1158,545
96,Амурская область,720,758,2,-38,579,319
97,Магаданская область,109,132,1,-23,97,57
98,Сахалинская область,423,473,1,-50,404,193
99,Еврейская автономная область,146,157,3,-11,99,62
100,Чукотский авт.округ,43,49,0,-6,30,16
