,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
7,Белгородская область,1035,1666,12,-631,551,514,2018,02
8,Брянская область,836,1397,1,-561,423,410,2018,02
9,Владимирская область,969,1644,6,-675,478,435,2018,02
10,Воронежская область,1664,2621,3,-957,812,675,2018,02
11,Ивановская область,708,1243,2,-535,316,293,2018,02
12,Калужская область,791,1135,5,-344,400,329,2018,02
13,Костромская область,469,726,5,-257,234,160,2018,02
14,Курская область,795,1340,6,-545,361,353,2018,02
15,Липецкая область,819,1279,1,-460,395,295,2018,02
16,Московская область,6399,7364,21,-965,3105,2535,2018,02
17,Орловская область,533,885,3,-352,250,235,2018,02
18,Рязанская область,858,1274,2,-416,354,350,2018,02
19,Смоленская область,607,1203,6,-596,313,301,2018,02
20,Тамбовская область,624,1214,3,-590,312,273,2018,02
21,Тверская область,874,1739,3,-865,419,397,2018,02
22,Тульская область,1010,1839,4,-829,513,408,2018,02
23,Ярославская область,858,1358,1,-500,392,377,2018,02
24,г.Москва,9737,9865,68,-128,4457,2904,2018,02
26,Республика Карелия,449,710,2,-261,241,226,2018,02
27,Республика Коми,626,755,2,-129,313,355,2018,02
28,Архангельская область,901,1135,0,-234,415,367,2018,02
29,Hенецкий авт.округ,63,27,0,36,9,12,2018,02
30,Архангельская область без автономии,838,1108,0,-270,406,355,2018,02
31,Вологодская область,957,1346,2,-389,375,319,2018,02
32,Калининградская область,815,945,2,-130,359,419,2018,02
33,Ленинградская область,1042,1894,6,-852,411,559,2018,02
34,Мурманская область,519,658,3,-139,380,305,2018,02
35,Новгородская область,449,784,1,-335,202,213,2018,02
36,Псковская область,449,833,1,-384,209,200,2018,02
37,г.Санкт-Петербург,4615,4831,21,-216,2854,1901,2018,02
39,Республика Адыгея,343,396,3,-53,118,122,2018,02
40,Республика Калмыкия,226,197,1,29,65,54,2018,02
41,Республика Крым,1572,2119,7,-547,651,512,2018,02
42,Краснодарский край,4760,5351,22,-591,1999,1830,2018,02
43,Астраханская область,905,956,3,-51,309,313,2018,02
44,Волгоградская область,1869,2521,13,-652,663,741,2018,02
45,Ростовская область,3150,4383,12,-1233,1317,1282,2018,02
48,Республика Дагестан,4058,1320,31,2738,1038,359,2018,02
49,Республика Ингушетия,656,125,5,531,156,42,2018,02
50,Кабардино-Балкарская Республика,872,591,5,281,252,184,2018,02
51,Карачаево-Черкесская Республика,390,359,2,31,129,100,2018,02
52,Республика Северная Осетия- Алания,674,564,2,110,218,118,2018,02
53,Чеченская Республика,2257,499,19,1758,554,70,2018,02
54,Ставропольский край,2272,2496,22,-224,833,816,2018,02
56,Республика Башкортостан,3585,3828,24,-243,1400,1225,2018,02
57,Республика Марий Эл,547,687,4,-140,202,203,2018,02
58,Республика Мордовия,530,789,0,-259,248,166,2018,02
59,Республика Татарстан(Татарстан),3340,3375,14,-35,1309,1040,2018,02
60,Удмуртская Республика,1293,1362,8,-69,485,374,2018,02
61,Чувашская Республика(Чувашия),998,1129,2,-131,391,316,2018,02
62,Пермский край,2262,2741,11,-479,1044,874,2018,02
63,Кировская область,1021,1469,3,-448,403,407,2018,02
64,Hижегородская область,2403,3782,21,-1379,1188,998,2018,02
65,Оренбургская область,1692,2072,8,-380,766,633,2018,02
66,Пензенская область,854,1533,4,-679,419,349,2018,02
67,Самарская область,2497,3604,12,-1107,1043,955,2018,02
68,Саратовская область,1734,2581,6,-847,760,772,2018,02
69,Ульяновская область,873,1369,8,-496,438,355,2018,02
71,Курганская область,666,941,6,-275,304,319,2018,02
72,Свердловская область,3850,4515,19,-665,1668,1508,2018,02
73,Тюменская область,3692,2316,15,1376,1665,1406,2018,02
74,Ханты-Мансийский авт.округ-Югра,1614,785,4,829,792,681,2018,02
75,Ямало-Hенецкий авт.округ,562,235,6,327,278,228,2018,02
76,Тюменская область без автономии,1516,1296,5,220,595,497,2018,02
77,Челябинская область,2916,3445,24,-529,1217,1180,2018,02
79,Республика Алтай,235,159,2,76,67,72,2018,02
80,Республика Бурятия,1071,825,4,246,354,297,2018,02
81,Республика Тыва,494,205,5,289,105,39,2018,02
82,Республика Хакасия,502,536,3,-34,184,173,2018,02
83,Алтайский край,1906,2625,15,-719,709,760,2018,02
84,Забайкальский край,982,1061,7,-79,405,359,2018,02
85,Красноярский край,2622,2766,16,-144,1124,1069,2018,02
86,Иркутская область,2448,2362,22,86,1018,891,2018,02
87,Кемеровская область,2094,3173,16,-1079,916,943,2018,02
88,Новосибирская область,2530,2804,19,-274,1011,1010,2018,02
89,Омская область,1694,1961,11,-267,765,671,2018,02
90,Томская область,935,904,7,31,401,363,2018,02
92,Республика Саха (Якутия),1042,582,3,460,447,322,2018,02
93,Камчатский край,265,264,0,1,168,170,2018,02
94,Приморский край,1514,2109,4,-595,742,694,2018,02
95,Хабаровский край,1139,1346,2,-207,527,528,2018,02
96,Амурская область,702,941,4,-239,390,329,2018,02
97,Магаданская область,104,109,0,-5,70,61,2018,02
98,Сахалинская область,436,489,3,-53,202,221,2018,02
99,Еврейская автономная область,156,169,1,-13,58,62,2018,02
100,Чукотский авт.округ,52,37,0,15,30,17,2018,02
