,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1319,1688,12,-369,1357,627
8,Брянская область,1017,1522,5,-505,995,538
9,Владимирская область,1164,1807,3,-643,1187,494
10,Воронежская область,1942,2902,8,-960,2012,865
11,Ивановская область,875,1336,0,-461,783,398
12,Калужская область,955,1194,5,-239,939,387
13,Костромская область,615,770,5,-155,537,256
14,Курская область,1043,1339,5,-296,935,444
15,Липецкая область,1006,1315,6,-309,989,468
16,Московская область,7317,7525,32,-208,6473,2954
17,Орловская область,616,921,1,-305,684,307
18,Рязанская область,897,1325,3,-428,1026,408
19,Смоленская область,716,1197,10,-481,718,383
20,Тамбовская область,714,1279,2,-565,898,376
21,Тверская область,1051,1777,4,-726,1018,522
22,Тульская область,1088,1925,4,-837,1154,508
23,Ярославская область,1184,1535,2,-351,1129,491
24,г.Москва,12086,9483,75,2603,9912,3847
26,Республика Карелия,587,805,5,-218,524,234
27,Республика Коми,785,822,2,-37,609,347
28,Архангельская область,991,1257,5,-266,860,423
29,Hенецкий авт.округ,60,39,0,21,20,13
30,Архангельская область без автономии,931,1218,5,-287,840,410
31,Вологодская область,1114,1348,8,-234,967,417
32,Калининградская область,861,1011,3,-150,852,422
33,Ленинградская область,1341,2034,4,-693,972,685
34,Мурманская область,667,717,3,-50,475,280
35,Новгородская область,516,809,2,-293,459,253
36,Псковская область,556,901,2,-345,518,235
37,г.Санкт-Петербург,5957,5080,32,877,6138,2148
39,Республика Адыгея,396,486,0,-90,230,129
40,Республика Калмыкия,267,250,1,17,138,102
41,Республика Крым,1836,2155,9,-319,1203,674
42,Краснодарский край,5879,5964,30,-85,3830,2320
43,Астраханская область,1021,1116,8,-95,558,405
44,Волгоградская область,2164,3107,9,-943,1394,902
45,Ростовская область,3693,4719,19,-1026,2627,1616
48,Республика Дагестан,4146,1389,49,2757,1322,367
49,Республика Ингушетия,735,98,3,637,199,53
50,Кабардино-Балкарская Республика,941,655,4,286,394,233
51,Карачаево-Черкесская Республика,465,359,5,106,210,153
52,Республика Северная Осетия- Алания,779,625,7,154,311,141
53,Чеченская Республика,2830,615,19,2215,769,73
54,Ставропольский край,2658,2858,23,-200,1548,920
56,Республика Башкортостан,4403,4277,24,126,3216,1344
57,Республика Марий Эл,727,764,5,-37,503,261
58,Республика Мордовия,622,887,1,-265,580,226
59,Республика Татарстан(Татарстан),4156,3729,16,427,3035,1148
60,Удмуртская Республика,1505,1571,7,-66,1170,447
61,Чувашская Республика(Чувашия),1212,1298,4,-86,894,380
62,Пермский край,2686,2934,15,-248,2184,977
63,Кировская область,1231,1548,5,-317,813,417
64,Hижегородская область,2935,3921,14,-986,2996,1231
65,Оренбургская область,1915,2238,8,-323,1598,771
66,Пензенская область,1120,1571,1,-451,1016,464
67,Самарская область,3161,3731,20,-570,2642,1254
68,Саратовская область,2043,2835,12,-792,1739,910
69,Ульяновская область,1079,1501,6,-422,1055,441
71,Курганская область,866,1090,3,-224,566,347
72,Свердловская область,4602,4929,17,-327,3696,1796
73,Тюменская область,4547,2485,16,2062,3057,1591
74,Ханты-Мансийский авт.округ-Югра,2076,883,7,1193,1392,791
75,Ямало-Hенецкий авт.округ,612,203,0,409,327,200
76,Тюменская область без автономии,1859,1399,9,460,1338,600
77,Челябинская область,3375,3909,19,-534,2831,1395
79,Республика Алтай,266,167,4,99,191,71
80,Республика Бурятия,1296,829,4,467,691,342
81,Республика Тыва,603,271,6,332,226,57
82,Республика Хакасия,593,531,3,62,439,225
83,Алтайский край,2154,2771,17,-617,1811,981
84,Забайкальский край,1240,1120,10,120,832,387
85,Красноярский край,3046,3009,10,37,2472,1273
86,Иркутская область,2822,2568,21,254,2240,1065
87,Кемеровская область,2351,3122,10,-771,2168,1000
88,Новосибирская область,2932,2907,14,25,2412,1167
89,Омская область,1880,2097,10,-217,1600,779
90,Томская область,1083,970,4,113,974,439
92,Республика Саха (Якутия),1213,702,17,511,628,349
93,Камчатский край,313,320,4,-7,223,139
94,Приморский край,1899,2180,11,-281,1473,867
95,Хабаровский край,1384,1455,7,-71,995,618
96,Амурская область,774,893,1,-119,646,346
97,Магаданская область,131,132,0,-1,94,59
98,Сахалинская область,543,513,0,30,345,263
99,Еврейская автономная область,170,193,3,-23,97,63
100,Чукотский авт.округ,59,45,0,14,34,10
