,region,birth,death,death_children,inc_decr,marriage,divorce
6,Белгородская область,1233,1884,5,-651,488,529
7,Брянская область,949,1684,4,-735,364,446
8,Владимирская область,1076,1927,4,-851,418,459
9,Воронежская область,1791,3112,9,-1321,826,785
10,Ивановская область,746,1454,4,-708,286,292
11,Калужская область,860,1349,3,-489,399,345
12,Костромская область,494,899,3,-405,201,249
13,Курская область,884,1537,2,-653,365,400
14,Липецкая область,971,1433,2,-462,395,380
15,Московская область,6930,8282,29,-1352,2970,2765
16,Орловская область,611,1076,5,-465,236,250
17,Рязанская область,865,1594,2,-729,359,396
18,Смоленская область,690,1367,7,-677,283,331
19,Тамбовская область,677,1434,2,-757,284,341
20,Тверская область,945,1988,5,-1043,398,466
21,Тульская область,1037,2189,4,-1152,473,482
22,Ярославская область,1086,1762,2,-676,368,440
23,г.Москва,10391,10733,68,-342,4076,3679
25,Республика Карелия,503,799,1,-296,210,188
26,Республика Коми,765,928,5,-163,271,325
27,Архангельская область,917,1398,3,-481,343,407
28,Hенецкий авт.округ,44,44,0,0,5,13
29,Архангельская область без автономии,873,1354,3,-481,338,394
30,Вологодская область,1016,1525,7,-509,317,382
31,Калининградская область,833,1112,3,-279,368,465
32,Ленинградская область,1253,2194,1,-941,471,622
33,Мурманская область,629,757,6,-128,336,300
34,Новгородская область,470,891,2,-421,179,231
35,Псковская область,504,1030,1,-526,175,211
36,г.Санкт-Петербург,5142,5431,19,-289,2414,2122
38,Республика Адыгея,420,517,3,-97,112,158
39,Республика Калмыкия,247,249,1,-2,69,81
40,Республика Крым,1712,2553,3,-841,611,561
41,Краснодарский край,5591,6207,24,-616,1944,2159
42,Астраханская область,1013,1104,6,-91,308,310
43,Волгоградская область,2024,3045,7,-1021,674,895
44,Ростовская область,3524,5117,15,-1593,1217,1349
47,Республика Дагестан,4192,1224,47,2968,1041,351
48,Республика Ингушетия,702,99,4,603,155,23
49,Кабардино-Балкарская Республика,958,650,9,308,301,174
50,Карачаево-Черкесская Республика,404,357,1,47,131,95
51,Республика Северная Осетия- Алания,777,738,4,39,207,170
52,Чеченская Республика,2752,537,18,2215,516,89
55,Республика Башкортостан,4125,4535,25,-410,1319,1305
56,Республика Марий Эл,673,756,7,-83,210,212
57,Республика Мордовия,538,987,4,-449,233,227
58,Республика Татарстан(Татарстан),3868,4003,20,-135,1233,1089
59,Удмуртская Республика,1424,1691,5,-267,443,446
60,Чувашская Республика(Чувашия),1063,1352,6,-289,356,314
61,Пермский край,2501,3296,9,-795,970,941
62,Кировская область,1040,1706,6,-666,347,400
63,Hижегородская область,2785,4324,16,-1539,1133,1102
64,Оренбургская область,1992,2399,13,-407,669,644
65,Пензенская область,928,1763,4,-835,410,431
66,Самарская область,2653,3684,14,-1031,915,1075
67,Саратовская область,1827,3001,11,-1174,682,764
68,Ульяновская область,943,1539,2,-596,368,360
70,Курганская область,729,1212,2,-483,238,338
71,Свердловская область,4234,5369,23,-1135,1372,1529
72,Тюменская область,4237,2721,18,1516,1599,1508
73,Ханты-Мансийский авт.округ-Югра,1936,955,4,981,784,701
74,Ямало-Hенецкий авт.округ,583,230,3,353,246,261
75,Тюменская область без автономии,1718,1536,11,182,569,546
76,Челябинская область,3342,4175,23,-833,1084,1231
78,Республика Алтай,266,183,1,83,94,68
79,Республика Бурятия,1145,1036,11,109,337,289
80,Республика Тыва,579,234,6,345,95,48
81,Республика Хакасия,536,630,5,-94,161,173
82,Алтайский край,2049,3120,15,-1071,684,731
83,Забайкальский край,1103,1178,7,-75,436,394
84,Красноярский край,2817,3245,18,-428,1062,1081
85,Иркутская область,2713,2827,23,-114,967,968
86,Кемеровская область,2223,3613,7,-1390,877,862
87,Новосибирская область,2752,3299,14,-547,968,1006
88,Омская область,1815,2326,10,-511,745,634
89,Томская область,880,1101,3,-221,299,388
91,Республика Саха (Якутия),1147,717,7,430,265,374
92,Камчатский край,333,326,1,7,141,158
93,Приморский край,1742,2492,16,-750,666,798
94,Хабаровский край,1304,1507,12,-203,476,539
95,Амурская область,794,930,8,-136,298,314
96,Магаданская область,114,143,0,-29,54,66
97,Сахалинская область,533,518,1,15,189,207
98,Еврейская автономная область,165,191,0,-26,59,64
99,Чукотский авт.округ,44,48,0,-4,31,22
