,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
7,Белгородская область,1226,1818,7,-592,346,540,2017,05
8,Брянская область,1016,1721,12,-705,270,457,2017,05
9,Владимирская область,1083,1982,4,-899,270,513,2017,05
10,Воронежская область,1834,3148,5,-1314,665,774,2017,05
11,Ивановская область,797,1422,1,-625,217,332,2017,05
12,Калужская область,945,1354,3,-409,281,397,2017,05
13,Костромская область,549,823,4,-274,156,252,2017,05
14,Курская область,894,1500,7,-606,303,418,2017,05
15,Липецкая область,940,1546,1,-606,271,428,2017,05
16,Московская область,7551,8120,31,-569,2364,3013,2017,05
17,Орловская область,605,1047,2,-442,186,294,2017,05
18,Рязанская область,958,1590,4,-632,286,420,2017,05
19,Смоленская область,775,1322,8,-547,219,354,2017,05
20,Тамбовская область,712,1420,3,-708,204,352,2017,05
21,Тверская область,1121,1960,2,-839,388,485,2017,05
22,Тульская область,1097,2240,9,-1143,369,521,2017,05
23,Ярославская область,1161,1669,2,-508,330,472,2017,05
24,г.Москва,11446,9935,97,1511,3963,3887,2017,05
26,Республика Карелия,605,781,2,-176,172,222,2017,05
27,Республика Коми,861,849,1,12,242,358,2017,05
28,Архангельская область,1071,1305,4,-234,308,419,2017,05
29,Hенецкий авт.округ,58,39,1,19,12,19,2017,05
30,Архангельская область без автономии,1013,1266,3,-253,296,400,2017,05
31,Вологодская область,1208,1532,7,-324,293,387,2017,05
32,Калининградская область,879,1069,6,-190,298,410,2017,05
33,Ленинградская область,1373,2174,6,-801,399,601,2017,05
34,Мурманская область,711,721,4,-10,317,353,2017,05
35,Новгородская область,512,904,3,-392,169,217,2017,05
36,Псковская область,525,999,5,-474,146,260,2017,05
37,г.Санкт-Петербург,5678,5135,19,543,2614,2081,2017,05
39,Республика Адыгея,380,497,3,-117,94,133,2017,05
40,Республика Калмыкия,225,262,2,-37,43,83,2017,05
41,Республика Крым,1643,2400,13,-757,525,613,2017,05
42,Краснодарский край,5016,5886,26,-870,1860,2124,2017,05
43,Астраханская область,985,1041,9,-56,266,363,2017,05
44,Волгоградская область,2048,2984,13,-936,651,897,2017,05
45,Ростовская область,3486,4988,23,-1502,1153,1514,2017,05
48,Республика Дагестан,3838,1300,38,2538,1195,363,2017,05
49,Республика Ингушетия,640,135,5,505,158,29,2017,05
50,Кабардино-Балкарская Республика,896,644,5,252,253,187,2017,05
51,Карачаево-Черкесская Республика,426,364,5,62,144,108,2017,05
52,Республика Северная Осетия- Алания,718,600,2,118,190,160,2017,05
53,Чеченская Республика,2162,541,19,1621,554,93,2017,05
54,Ставропольский край,2549,2818,25,-269,594,879,2017,05
56,Республика Башкортостан,4217,4557,47,-340,952,1342,2017,05
57,Республика Марий Эл,711,767,2,-56,141,228,2017,05
58,Республика Мордовия,535,955,1,-420,151,227,2017,05
59,Республика Татарстан(Татарстан),4005,3861,15,144,899,1137,2017,05
60,Удмуртская Республика,1558,1635,7,-77,330,434,2017,05
61,Чувашская Республика(Чувашия),1122,1417,6,-295,262,306,2017,05
62,Пермский край,2752,3064,20,-312,680,898,2017,05
63,Кировская область,1120,1667,3,-547,311,453,2017,05
64,Hижегородская область,2944,4232,15,-1288,835,1158,2017,05
65,Оренбургская область,1955,2334,14,-379,454,686,2017,05
66,Пензенская область,1021,1719,8,-698,254,502,2017,05
67,Самарская область,2785,3938,14,-1153,729,1162,2017,05
68,Саратовская область,2055,3079,14,-1024,497,847,2017,05
69,Ульяновская область,1076,1577,7,-501,303,385,2017,05
71,Курганская область,822,1175,4,-353,198,324,2017,05
72,Свердловская область,4612,5119,21,-507,1109,1704,2017,05
73,Тюменская область,4483,2612,27,1871,1234,1707,2017,05
74,Ханты-Мансийский авт.округ-Югра,2011,917,9,1094,619,832,2017,05
75,Ямало-Hенецкий авт.округ,705,237,7,468,198,254,2017,05
76,Тюменская область без автономии,1767,1458,11,309,417,621,2017,05
77,Челябинская область,3454,4091,22,-637,748,1418,2017,05
79,Республика Алтай,331,183,3,148,60,75,2017,05
80,Республика Бурятия,1189,911,12,278,193,316,2017,05
81,Республика Тыва,609,218,6,391,130,31,2017,05
82,Республика Хакасия,610,632,3,-22,129,204,2017,05
83,Алтайский край,2297,3046,15,-749,535,938,2017,05
84,Забайкальский край,1281,1013,9,268,245,397,2017,05
85,Красноярский край,3170,3074,23,96,826,1170,2017,05
86,Иркутская область,2771,2706,19,65,752,989,2017,05
87,Кемеровская область,2405,3395,24,-990,545,1024,2017,05
88,Новосибирская область,3060,3070,11,-10,769,1087,2017,05
89,Омская область,1916,2239,14,-323,530,738,2017,05
90,Томская область,1090,1048,2,42,240,398,2017,05
92,Республика Саха (Якутия),1277,694,6,583,286,349,2017,05
93,Камчатский край,335,292,2,43,138,155,2017,05
94,Приморский край,1766,2252,13,-486,508,817,2017,05
95,Хабаровский край,1360,1510,9,-150,434,613,2017,05
96,Амурская область,787,971,8,-184,233,341,2017,05
97,Магаданская область,143,141,0,2,55,84,2017,05
98,Сахалинская область,526,503,1,23,186,234,2017,05
99,Еврейская автономная область,166,181,2,-15,36,63,2017,05
100,Чукотский авт.округ,69,42,0,27,29,19,2017,05
