,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
7,Белгородская область,1200,1633,5,-433,575,542,2017,12
8,Брянская область,856,1523,5,-667,525,472,2017,12
9,Владимирская область,996,1764,4,-768,592,491,2017,12
10,Воронежская область,1775,2720,7,-945,967,871,2017,12
11,Ивановская область,762,1307,4,-545,449,371,2017,12
12,Калужская область,838,1265,6,-427,539,432,2017,12
13,Костромская область,485,793,6,-308,282,235,2017,12
14,Курская область,830,1280,6,-450,397,401,2017,12
15,Липецкая область,833,1321,4,-488,427,426,2017,12
16,Московская область,7318,7536,39,-218,4108,3238,2017,12
17,Орловская область,541,935,2,-394,293,255,2017,12
18,Рязанская область,822,1325,3,-503,382,461,2017,12
19,Смоленская область,667,1187,2,-520,388,373,2017,12
20,Тамбовская область,684,1155,2,-471,284,321,2017,12
21,Тверская область,1036,1741,6,-705,662,516,2017,12
22,Тульская область,972,1960,8,-988,676,575,2017,12
23,Ярославская область,1020,1491,9,-471,561,416,2017,12
24,г.Москва,10735,10111,56,624,6145,4272,2017,12
26,Республика Карелия,503,721,6,-218,328,226,2017,12
27,Республика Коми,733,813,2,-80,512,366,2017,12
28,Архангельская область,988,1131,3,-143,622,439,2017,12
29,Hенецкий авт.округ,52,29,0,23,23,12,2017,12
30,Архангельская область без автономии,936,1102,3,-166,599,427,2017,12
31,Вологодская область,1048,1356,5,-308,531,404,2017,12
32,Калининградская область,819,1027,5,-208,534,421,2017,12
33,Ленинградская область,1161,1851,3,-690,693,638,2017,12
34,Мурманская область,630,683,8,-53,535,357,2017,12
35,Новгородская область,464,829,8,-365,272,245,2017,12
36,Псковская область,461,817,3,-356,322,224,2017,12
37,г.Санкт-Петербург,5385,4934,25,451,3472,2363,2017,12
39,Республика Адыгея,430,452,2,-22,182,120,2017,12
40,Республика Калмыкия,258,249,1,9,98,71,2017,12
41,Республика Крым,1761,2189,11,-428,1054,605,2017,12
42,Краснодарский край,5798,5661,25,137,3032,2283,2017,12
43,Астраханская область,1051,953,6,98,530,335,2017,12
44,Волгоградская область,1978,2614,9,-636,1001,887,2017,12
45,Ростовская область,3438,4438,15,-1000,1793,1588,2017,12
48,Республика Дагестан,4004,1335,44,2669,1422,425,2017,12
49,Республика Ингушетия,632,165,3,467,184,44,2017,12
50,Кабардино-Балкарская Республика,868,591,2,277,403,182,2017,12
51,Карачаево-Черкесская Республика,398,354,4,44,190,110,2017,12
52,Республика Северная Осетия- Алания,692,453,2,239,281,159,2017,12
53,Чеченская Республика,2428,641,32,1787,670,101,2017,12
54,Ставропольский край,2764,2581,18,183,1103,1052,2017,12
56,Республика Башкортостан,4047,4094,26,-47,2091,1326,2017,12
57,Республика Марий Эл,579,653,0,-74,266,197,2017,12
58,Республика Мордовия,533,836,2,-303,192,230,2017,12
59,Республика Татарстан(Татарстан),3817,3508,27,309,1912,1091,2017,12
60,Удмуртская Республика,1377,1378,3,-1,610,485,2017,12
61,Чувашская Республика(Чувашия),1091,1246,4,-155,369,330,2017,12
62,Пермский край,2402,2703,12,-301,1375,961,2017,12
63,Кировская область,1063,1443,2,-380,494,441,2017,12
64,Hижегородская область,2563,3812,16,-1249,1076,1136,2017,12
65,Оренбургская область,1816,1991,19,-175,855,749,2017,12
66,Пензенская область,930,1485,5,-555,448,464,2017,12
67,Самарская область,2823,3557,21,-734,1263,1196,2017,12
68,Саратовская область,1927,2674,14,-747,1101,888,2017,12
69,Ульяновская область,925,1364,7,-439,501,437,2017,12
71,Курганская область,736,1051,2,-315,398,355,2017,12
72,Свердловская область,4213,4560,15,-347,2575,1701,2017,12
73,Тюменская область,4105,2305,24,1800,2401,1703,2017,12
74,Ханты-Мансийский авт.округ-Югра,1842,807,10,1035,1058,752,2017,12
75,Ямало-Hенецкий авт.округ,624,216,8,408,430,281,2017,12
76,Тюменская область без автономии,1639,1282,6,357,913,670,2017,12
77,Челябинская область,2988,3620,23,-632,1856,1352,2017,12
79,Республика Алтай,284,175,2,109,83,86,2017,12
80,Республика Бурятия,1105,848,9,257,490,278,2017,12
81,Республика Тыва,572,223,3,349,246,64,2017,12
82,Республика Хакасия,523,547,2,-24,281,232,2017,12
83,Алтайский край,1899,2560,10,-661,1205,919,2017,12
84,Забайкальский край,1121,1028,5,93,634,432,2017,12
85,Красноярский край,2708,2785,21,-77,1829,1252,2017,12
86,Иркутская область,2647,2476,24,171,1577,1039,2017,12
87,Кемеровская область,2173,3053,8,-880,1341,943,2017,12
88,Новосибирская область,2567,2910,8,-343,1466,1075,2017,12
89,Омская область,1720,1855,13,-135,1031,742,2017,12
90,Томская область,1120,1037,9,83,579,409,2017,12
92,Республика Саха (Якутия),1103,613,11,490,606,334,2017,12
93,Камчатский край,265,286,1,-21,238,159,2017,12
94,Приморский край,1628,2057,6,-429,1147,806,2017,12
95,Хабаровский край,1306,1409,3,-103,860,588,2017,12
96,Амурская область,719,891,6,-172,554,339,2017,12
97,Магаданская область,135,148,0,-13,117,74,2017,12
98,Сахалинская область,495,433,3,62,296,219,2017,12
99,Еврейская автономная область,142,169,0,-27,111,75,2017,12
100,Чукотский авт.округ,47,41,2,6,49,14,2017,12
